회사명,거래소코드,회계년도,자본(천원),유동자산(천원),재고자산(천원),부채(천원),유동부채(천원),자본금(천원),비유동자산(천원),매출액(영업수익)(천원),당기순이익(순손실)(천원),유형자산(천원),영업이익(손실)(천원),이자비용(천원)
(주)에스알바이오텍,270210,2015/12,621051.0,813954.0,320493.0,2182920.0,646680.0,200000.0,1990017.0,1876372.0,461079.0,1982486.0,459518.0,0.0
(주)에스알바이오텍,270210,2016/12,544073.0,674554.0,266928.0,2002812.0,863149.0,200000.0,1872331.0,1619965.0,-76977.0,1867865.0,51547.0,0.0
(주)에스알바이오텍,270210,2017/12,1008445.0,1363386.0,431765.0,2092915.0,1089449.0,231388.0,1737973.0,663217.0,-1103138.0,1717675.0,-915628.0,0.0
(주)에스알바이오텍,270210,2018/12,697759.0,1118351.0,327890.0,2051515.0,609279.0,245388.0,1630923.0,1004135.0,-1009778.0,1578357.0,-870836.0,0.0
(주)에스알바이오텍,270210,2019/12,3196.0,470344.0,363145.0,1979799.0,795090.0,245388.0,1512650.0,1219130.0,-694530.0,1471208.0,-515591.0,0.0
(주)에스알바이오텍,270210,2020/12,188933.0,341110.0,246841.0,1636113.0,546120.0,403404.0,1483936.0,1685382.0,-1335935.0,1443118.0,-1204456.0,0.0
(주)에스알바이오텍,270210,2021/12,-301003.0,1079704.0,751212.0,2868629.0,1894727.0,403404.0,1487923.0,5681249.0,-545662.0,1420240.0,-394071.0,0.0
(주)에스알바이오텍,270210,2022/12,124432.0,2136965.0,827487.0,3457732.0,2546505.0,621353.0,1445199.0,7411638.0,-956920.0,1361411.0,-803400.0,0.0
(주)에스엘테라퓨틱스,258540,2014/12,1500123.0,1308658.0,244344.0,1608610.0,1583624.0,64999.0,1800074.0,1698670.0,-137253.0,318477.0,-119511.0,0.0
(주)에스엘테라퓨틱스,258540,2015/12,1040911.0,2199824.0,619135.0,2057811.0,1470899.0,905245.0,898897.0,1783869.0,-1972454.0,208430.0,-1838704.0,0.0
(주)에스엘테라퓨틱스,258540,2016/12,3935273.0,5098134.0,779667.0,1913401.0,1415119.0,1061495.0,750540.0,1498045.0,-2105638.0,172142.0,-1996843.0,0.0
(주)에스엘테라퓨틱스,258540,2017/12,689396.0,2213173.0,707946.0,3010123.0,2864449.0,1091772.0,1486346.0,1304392.0,-4335849.0,447426.0,-4175351.0,0.0
(주)에스엘테라퓨틱스,258540,2018/12,336685.0,1422732.0,424513.0,2639111.0,2478821.0,1184965.0,1553064.0,1724757.0,-3212631.0,527642.0,-3110839.0,0.0
(주)에스엘테라퓨틱스,258540,2019/12,-2817229.0,3724054.0,551979.0,8118182.0,2384492.0,1247465.0,1576899.0,1238471.0,-5255441.0,770361.0,-4668832.0,0.0
(주)에스엘테라퓨틱스,258540,2020/12,-6423900.0,1306262.0,261337.0,9121675.0,6304149.0,1247465.0,1391512.0,981173.0,-3864455.0,423336.0,-3603891.0,0.0
(주)에스엘테라퓨틱스,258540,2021/12,-7910980.0,793273.0,197070.0,10156783.0,8856250.0,4117395.0,1452531.0,693978.0,-7096780.0,313196.0,-6264702.0,0.0
(주)에스엘테라퓨틱스,258540,2022/12,-1096795.0,602106.0,263270.0,2362267.0,1744579.0,5189060.0,663366.0,231191.0,-2437100.0,129436.0,-1843515.0,0.0
(주)에스엠비나,299670,2015/12,50000.0,50000.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0
(주)에스엠비나,299670,2016/12,1947154.0,3769654.0,885040.0,1842500.0,1842500.0,50000.0,20000.0,6524602.0,1897154.0,0.0,2314845.0,0.0
(주)에스엠비나,299670,2017/12,5152872.0,4716842.0,502008.0,2219485.0,2207885.0,545000.0,2655515.0,14291792.0,2612978.0,8937.0,3272493.0,0.0
(주)에스엠비나,299670,2018/12,10329380.0,8797981.0,469879.0,1493354.0,1309857.0,658635.0,3024753.0,15790247.0,2429472.0,46733.0,3064613.0,0.0
(주)에스엠비나,299670,2019/12,10237972.0,15907481.0,354809.0,11602764.0,10610948.0,545000.0,5933255.0,21411171.0,2530103.0,766654.0,2530103.0,350017.0
(주)에스엠비나,299670,2020/12,14608193.0,13622718.0,210825.0,2899985.0,1969937.0,545000.0,3885460.0,23513894.0,4065115.0,614354.0,4065115.0,379777.0
